"Well","Cycle","Time","Object Index","Area [um^2]","Area [%]","Perimeter [um]","Form factor","Extent","Compactness","Eccentricity","Characteristic RI","Characteristic dry mass density [pg / um^3]","Dry mass [pg]","Granularity"
"A1",7,"00:21:55",5,1070.2,1.76272,267.496,0.187949,0.59935,5.32058,0.951609,1.34375,0.0687393,235.407,12.598
"A1",7,"00:21:55",6,416.32,0.685719,142.533,0.257516,0.583997,3.88325,0.319838,1.34713,0.0856578,114.115,11.2814
"A1",7,"00:21:55",7,441.28,0.72683,157.108,0.22466,0.390901,4.45118,0.921101,1.3499,0.0995014,140.506,7.09439
"A1",7,"00:21:55",8,537.8,0.885808,162.576,0.255693,0.547212,3.91094,0.788956,1.34513,0.075635,130.165,13.7651
"A1",7,"00:21:55",9,376.48,0.620098,151.12,0.20716,0.495864,4.82718,0.784249,1.3516,0.107981,130.088,8.75899
"A1",8,"00:24:55",1,569.68,0.938317,152.502,0.307814,0.487873,3.24872,0.831874,1.34331,0.0665421,121.305,12.6839
"A1",8,"00:24:55",2,926.24,1.52561,209.232,0.265876,0.632678,3.76116,0.869345,1.34206,0.0602789,178.665,11.6208
"A1",8,"00:24:55",3,694.2,1.14341,172.477,0.293247,0.672596,3.41009,0.693054,1.34289,0.0644257,143.118,14.0738
"A1",8,"00:24:55",4,978.48,1.61165,255.813,0.187896,0.348541,5.32211,0.941208,1.34294,0.0646816,202.527,13.4124
"A1",8,"00:24:55",5,1058.96,1.74421,277.195,0.173188,0.574523,5.77408,0.950626,1.34363,0.0681606,230.974,11.2331
"A1",8,"00:24:55",6,457.16,0.752986,171.717,0.194829,0.366843,5.13272,0.913746,1.34961,0.0980342,143.415,7.1146
"A1",8,"00:24:55",7,423.8,0.698039,127.689,0.326634,0.562367,3.06153,0.605303,1.34679,0.0839489,113.848,10.2945
"A1",8,"00:24:55",8,552.88,0.910646,209.109,0.15889,0.503717,6.29366,0.728271,1.34496,0.0748033,132.343,13.5094
